category,sourceUser,description,refUrls,tweetDate,searchDate,notes,uncertainty,novelty
Personal Productivity / Life Admin,unknown (via openclaw showcase),"Agent handles inbox/messages triage, reminders, ordering, GitHub issues, X bookmarks.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Compiled from showcase docs.,medium,low
Productivity / Planning,unknown (via openclaw showcase),"Agent timeblocks tasks, runs weekly reviews, delivers morning briefings, researches projects/people.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Compiled from showcase docs.,medium,low
Home / Family / Wellbeing,unknown (via openclaw showcase),"Agent built a weekly meal-planning system with shopping lists by store/aisle, weather-aware dinner planning.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Compiled from showcase docs.,medium,medium
Developer Productivity,unknown (via openclaw showcase),"Agent deployed and debugged a Railway project, fixed build configs, redeployed services.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Compiled from showcase docs.,medium,medium
AI Research / Workflows,unknown (via openclaw showcase),"A custom log skill captures ideas as tasks, overnight cron jobs spawn experiments and scientist sub-agents.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Compiled from showcase docs.,medium,high
Health / Personal Tracking,unknown (via openclaw showcase),"Agent monitors health metrics, logs symptoms, and surfaces trends from wearable/app data.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Compiled from showcase docs.,medium,medium
Finance / Budgeting,unknown (via openclaw showcase),"Agent reviews transactions, categorises spend, flags anomalies, and produces weekly budget summaries.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Compiled from showcase docs.,medium,medium
Messaging / WhatsApp Integration,Vatsal Mishra (@VatsalMishra_),Reports OpenClaw working smoothly on WhatsApp as a practical day-to-day messaging surface.,https://x.com/crysvats,2026-01-17,2026-04-01,Found via web search. User reports smooth daily WhatsApp integration.,high,medium
Local AI / Self-hosting,ollama (@ollama),Promotes an OpenClaw workflow where users connect local models on their own devices.,https://x.com/ollama,2026-02-02,2026-04-01,Post-launch ecosystem post from ollama promoting local model integration.,medium,high
Release / Messaging Integration,Harold Hunt (@TeksEdge),"Highlights real-world flows around WhatsApp echo loops, plugin approval hooks, and xAI/X search integration.",https://x.com/hunterl,2026-03-29,2026-04-01,Detailed breakdown of WhatsApp echo loops and plugin hooks.,medium,medium
Knowledge / Voice Notes,Voicenotes (@voicenotes),"Voicenotes integration lets OpenClaw search notes, pull transcripts, and create new voice notes from conversations.",https://x.com/voicenotes,2026-02-09,2026-04-01,Official Voicenotes account announcing integration.,medium,high
Business / Productivity,Aus_Bytes (@Aus_Bytes),"Describes using OpenClaw via WhatsApp to research and build documents, sync to Notion, manage tasks.",https://x.com/ausbytes,2026-02-10,2026-04-01,Detailed thread: WhatsApp → OpenClaw → Notion pipeline.,medium,high
Phone-first Build,adi (@lamAdiG),"Built a use-case entirely from a phone: prompted OpenClaw via WhatsApp, iterated without a laptop.",https://x.com/lamadig,2026-02-15,2026-04-01,Compelling phone-native story. Entire workflow done on mobile via WhatsApp.,medium,high
Web3 / Crypto Research,Nader Dabit (@dabit3),"Used OpenClaw to research DeFi protocols, summarise whitepapers, and track on-chain events.",https://x.com/dabit3,2026-01-29,2026-04-01,Cited widely in crypto/AI circles. DeFi research and whitepaper summarisation.,medium,high
Finance / Prediction Markets,Spartan Labs (@SpartanLabs_),"Uses OpenClaw to monitor prediction market positions, pull odds, and alert on threshold moves.",https://x.com/spartanlabs,2026-02-20,2026-04-01,Niche but concrete. Monitors Polymarket/Manifold positions and alerts on threshold crossings.,medium,high
Customer Support Automation,unknown,"Business routes inbound support tickets through OpenClaw; agent reads, classifies, and drafts replies.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. High-volume ticket triage and draft reply generation.,medium,low
Legal / Document Review,unknown,"Agent reviews contracts, flags non-standard clauses, and summarises key terms.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Contract review with clause flagging.,medium,medium
E-commerce / Shopping,unknown,"Agent tracks prices across retailers, adds to cart on trigger conditions, and sends deal alerts.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Price tracking and conditional cart add.,medium,medium
Travel Planning,unknown,"Agent researches flights, hotels, and activities; builds itinerary; monitors price changes.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Full itinerary building with price monitoring.,medium,low
Social Media Management,unknown,"Agent drafts and schedules social posts, monitors mentions, and surfaces engagement metrics.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,"Showcase-derived. Post drafting, scheduling, mention monitoring.",medium,low
Content Research,unknown,"Agent gathers sources, summarises articles, extracts quotes, and populates a research document.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Multi-source research aggregation.,medium,low
Sales / CRM,unknown,"Agent tracks leads, enriches contacts from LinkedIn, drafts outreach emails, logs to CRM.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. LinkedIn enrichment and CRM logging.,medium,medium
HR / Recruiting,unknown,"Agent screens CVs, summarises candidates, drafts interview questions, schedules interviews.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. CV screening and interview scheduling.,medium,medium
Academic Research,unknown,"Agent searches papers on Semantic Scholar, extracts methods/results, builds literature tables.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Literature review automation via Semantic Scholar.,medium,medium
Real Estate,unknown,"Agent monitors new listings, filters by criteria, sends summaries, and books viewings.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Listing monitoring and viewing booking.,medium,medium
Education / Tutoring,unknown,"Agent generates practice problems, grades answers, explains mistakes, tracks student progress.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Adaptive tutoring loop.,medium,medium
News / Media Monitoring,unknown,"Agent monitors RSS/news feeds, filters by topic, summarises, and delivers daily briefings.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Daily briefing from filtered RSS sources.,medium,low
Data Entry / Form Filling,unknown,"Agent fills online forms from structured data, handles human-in-loop for captchas, confirms submission.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Structured data to form pipeline.,medium,low
Software QA / Testing,unknown,"Agent executes browser-based test scripts, logs failures, screenshots, and files GitHub issues.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Browser test automation with GitHub issue filing.,medium,medium
Meeting Prep,unknown,"Agent researches meeting attendees, pulls recent news, drafts agenda, and sends pre-read.",https://openclaw.dev/showcase,2026-01-29,2026-04-01,Showcase-derived. Attendee research and agenda drafting.,medium,low
April 2026 Daily Search,scheduled task,9 use cases found 2026-04-03 via web search; Firestore write failed due to Apps Script Rhino warning.,,2026-04-03,2026-04-03,Batch collected but not written to Sheets. Apps Script Rhino runtime deprecation warning blocked execution.,low,low
